product_code,company_name
B030XB,"B030XB
B Series Plastic with Ba9S Lampholder White 22 mm Pilot"
B030XK,"B030XK
B Series Plastic with Ba9S Lampholder Red 22 mm Pilot"
B030XM,"B030XM
B Series Plastic with Ba9S Lampholder Blue 22 mm Pilot"
B030XS,"B030XS
B Series Plastic with Ba9S Lampholder Yellow 22 mm Pilot"
B030XY,"B030XY
B Series Plastic with Ba9S Lampholder Green 22 mm Pilot"
B050XB,"B050XB
B Series Plastic with LED 12-30V AC/DC White 22 mm Pilot"
B050XY,"B050XY
B Series Plastic with LED 12-30V AC/DC Green 22 mm Pilot"
B060XK,"B060XK
B Series Plastic with LED 12-30V AC/DC Red 22 mm Pilot"
B070XM,"B070XM
B Series Plastic with LED 12-30V AC/DC Blue 22 mm Pilot"
B080XS,"B080XS
B Series Plastic with LED 12-30V AC/DC Yellow 22 mm Pilot"
B090XY,"B090XY
B Series Plastic with LED 12-30V AC/DC Green 22 mm Pilot"
B0B0XB,"B0B0XB
B Series Plastic with LED 100-230V AC White 22 mm Pilot"
B0C0XB,"B0C0XB
B Series Plastic with LED 110V AC/DC White 22 mm Pilot"
B0D0XK,"B0D0XK
B Series Plastic with LED 110V AC/DC Red 22 mm Pilot"
B0E0XM,"B0E0XM
B Series Plastic with LED 110V AC/DC Blue 22 mm Pilot"
B0F0XS,"B0F0XS
B Series Plastic with LED 110V AC/DC Yellow 22 mm Pilot"
B0G0XY,"B0G0XY
B Series Plastic with LED 110V AC/DC Green 22 mm Pilot"
B0K0XK,"B0K0XK
B Series Plastic with LED 100-230V AC Red 22 mm Pilot"
B0M0XM,"B0M0XM
B Series Plastic with LED 100-230V AC Blue 22 mm Pilot"
B0Q0XB,"B0Q0XB
B Series Plastic with LED 48V AC/DC White 22 mm Pilot"
B0S0XS,"B0S0XS
B Series Plastic with LED 100-230V AC Yellow 22 mm Pilot"
B0V0XM,"B0V0XM
B Series Plastic with LED 48V AC/DC Blue 22 mm Pilot"
B0W0XS,"B0W0XS
B Series Plastic with LED 48V AC/DC Yellow 22 mm Pilot"
B0X0XK,"B0X0XK
B Series Plastic with LED 48V AC/DC Red 22 mm Pilot"
B0Y0XY,"B0Y0XY
B Series Plastic with LED 100-230V AC Green 22 mm Pilot"
B0Z0XY,"B0Z0XY
B Series Plastic with LED 48V AC/DC Green 22 mm Pilot"
B100AA20,"B100AA20
B Series Plastic 1NO (0-I) 60° Key Operated Stay Put Key Removal at 0 position 22 mm Control Unit"
B100AA21,"B100AA21
B Series Plastic 1NO (0-I) 60° Key Operated Spring Return Key Removal at 0 position 22 mm Control Unit"
B100AC20,"B100AC20
B Series Plastic 1NO (0-I) 60° Key Operated Stay Put Key Removal at all position 22 mm Control Unit"
B100AC30,"B100AC30
B Series Plastic 1NO (II-0-I) 60° Key Operated Stay Put Key Removal at all positions 22 mm Control Unit"
B100C,"B100C
B Series Plastic 1NO Handle Stay Put White (0-I) Marked 22 mm Control Unit"
B100DB,"B100DB
B Series Plastic 1NO Spring Flush White 22 mm Control Unit"
B100DB1,"B100DB1
B Series Plastic 1NO Spring Flush White (I) Marked 22 mm Control Unit"
B100DB2,"B100DB2
B Series Plastic 1NO Spring Flush White (II) Marked 22 mm Control Unit"
B100DBL,"B100DBL
B Series Plastic 1NO Spring Flush White (Light) Sign Marked 22 mm Control Unit"
B100DBOD,"B100DBOD
B Series Plastic 1NO Spring Flush White Vertical (Arrow) Sign Marked 22 mm Control Unit"
B100DBOY,"B100DBOY
B Series Plastic 1NO Spring Flush White Horizontal (Arrow) Sign Marked 22 mm Control Unit"
B100DBZ,"B100DBZ
B Series Plastic 1NO Spring Flush White (Bell) Sign Marked 22 mm Control Unit"
B100DH,"B100DH
B Series Plastic 1NO Spring Flush Black 22 mm Control Unit"
B100DH1,"B100DH1
B Series Plastic 1NO Spring Flush Black (I) Marked 22 mm Control Unit"
B100DH2,"B100DH2
B Series Plastic 1NO Spring Flush Black (II) Marked 22 mm Control Unit"
B100DHL,"B100DHL
B Series Plastic 1NO Spring Flush Black (Light) Sign Marked 22 mm Control Unit"
B100DHO,"B100DHO
B Series Plastic 1NO Spring Flush Black (0) Marked 22 mm Control Unit"
B100DHOD,"B100DHOD
B Series Plastic 1NO Spring Flush Black Vertical (Arrow) Sign Marked 22 mm Control Unit"
B100DHOY,"B100DHOY
B Series Plastic 1NO Spring Flush Black Horizontal (Arrow) Sign Marked 22 mm Control Unit"
B100DK,"B100DK
B Series Plastic 1NO Spring Flush Red 22 mm Control Unit"
B100DKST,"B100DKST
B Series Plastic 1NO Spring Flush Red (STOP) Marked 22 mm Control Unit"
B100DM,"B100DM
B Series Plastic 1NO Spring Flush Blue 22 mm Control Unit"
B100DMOD,"B100DMOD
B Series Plastic 1NO Spring Flush Blue Vertical (Arrow) Sign Marked 22 mm Control Unit"
B100DMOO,"B100DMOO
B Series Plastic 1NO Spring Flush Blue Double Way (Arrow) Sign Marked 22 mm Control Unit"
B100DS,"B100DS
B Series Plastic 1NO Spring Flush Yellow 22 mm Control Unit"
B100DSL,"B100DSL
B Series Plastic 1NO Spring Flush Yellow (Light) Sign Marked 22 mm Control Unit"
B100DSZ,"B100DSZ
B Series Plastic 1NO Spring Flush Yellow (Bell) Sign Marked 22 mm Control Unit"
B100DY,"B100DY
B Series Plastic 1NO Spring Flush Green 22 mm Control Unit"
B100DY1,"B100DY1
B Series Plastic 1NO Spring Flush Green (I) Marked 22 mm Control Unit"
B100DY2,"B100DY2
B Series Plastic 1NO Spring Flush Green (II) Marked 22 mm Control Unit"
B100DYOD,"B100DYOD
B Series Plastic 1NO Spring Flush Green Vertical (Arrow) Sign Marked 22 mm Control Unit"
B100DYOY,"B100DYOY
B Series Plastic 1NO Spring Flush Green Horizontal (Arrow) Sign Marked 22 mm Control Unit"
B100E,"B100E
B Series Plastic 1NO Emergency 40 mm Turn to Release Red 22 mm Control Unit"
B100E30,"B100E30
B Series Plastic 1NO Emergency 30 mm Turn to Release Red 22 mm Control Unit"
B100EE,"B100EE
B Series Plastic 1NO Emergency 40 mm Turn to Release with Label Red 22 mm Control Unit"
B100FB,"B100FB
B Series Plastic 1NO Spring Stay Put White 22 mm Control Unit"
B100FH,"B100FH
B Series Plastic 1NO Spring Stay Put Black 22 mm Control Unit"
B100FK,"B100FK
B Series Plastic 1NO Spring Stay Put Red 22 mm Control Unit"
B100FM,"B100FM
B Series Plastic 1NO Spring Stay Put Blue 22 mm Control Unit"
B100FS,"B100FS
B Series Plastic 1NO Spring Stay Put Yellow 22 mm Control Unit"
B100FY,"B100FY
B Series Plastic 1NO Spring Stay Put Green 22 mm Control Unit"
B100HB,"B100HB
B Series Plastic 1NO Spring Extended White 22 mm Control Unit"
B100HH,"B100HH
B Series Plastic 1NO Spring Extended Black 22 mm Control Unit"
B100HK,"B100HK
B Series Plastic 1NO Spring Extended Red 22 mm Control Unit"
B100HM,"B100HM
B Series Plastic 1NO Spring Extended Blue 22 mm Control Unit"
B100HS,"B100HS
B Series Plastic 1NO Spring Extended Yellow 22 mm Control Unit"
B100HY,"B100HY
B Series Plastic 1NO Spring Extended Green 22 mm Control Unit"
B100MB,"B100MB
B Series Plastic 1NO Spring 40 mm Mushroom White 22 mm Control Unit"
B100MH,"B100MH
B Series Plastic 1NO Spring 40 mm Mushroom Black 22 mm Control Unit"
B100MK,"B100MK
B Series Plastic 1NO Spring 40 mm Mushroom Red 22 mm Control Unit"
B100MS,"B100MS
B Series Plastic 1NO Spring 40 mm Mushroom Yellow 22 mm Control Unit"
B100MSZ,"B100MSZ
B Series Plastic 1NO Spring 40 mm Mushroom Yellow (Bell) Sign Marked 22 mm Control Unit"
B100MY,"B100MY
B Series Plastic 1NO Spring 40 mm Mushroom Green 22 mm Control Unit"
B100R20,"B100R20
B Series Plastic 1NO (0-I) 45° Selector Stay Put 22 mm Control Unit"
B100S20,"B100S20
B Series Plastic 1NO (0-I) 60° Selector Stay Put 22 mm Control Unit"
B100S21,"B100S21
B Series Plastic 1NO (0-I) 60° Selector Stay Put 22 mm Control Unit"
B100S30,"B100S30
B Series Plastic 1NO (II-0-I) 60° Selector Stay Put 22 mm Control Unit"
B100S32,"B100S32
B Series Plastic 1NO (II-0-I) 60° Selector Double Spring Return 22 mm Control Unit"
